id,order_id,product_id,qty,rate,amount
1445,238,130,10,24.5,245.00
1446,238,142,15,14.11,211.65
1447,238,131,15,26,390.00
1448,238,147,15,1.5,22.50
1449,238,187,20,18.15,363.00
1450,241,278,2,1111.11,2222.22
1451,241,231,2,15,30.00
1452,241,144,2,16.37,32.74
1453,241,65,2,70,140.00
1454,240,122,1,65.97,65.97
1455,240,146,1,126.36,126.36
1456,240,62,30,13,390.00
1457,240,34,10,37.5,375.00
1458,239,182,10,61.72,617.20
1459,239,88,15,2.17,32.55
1460,239,179,30,10.5,315.00
1461,239,163,10,7,70.00
1462,239,130,10,24.5,245.00
1463,239,112,10,50,500.00
1464,237,97,30,1.51,45.30
1465,237,142,10,14.11,141.10
1466,237,129,10,22,220.00
1467,242,165,5,75,375.00
1468,242,88,15,2.17,32.55
1469,243,144,2,16.37,32.74
1470,243,148,2,41.4,82.80
1471,243,65,2,70,140.00
1478,244,182,6,61.72,370.32
1479,244,146,1,126.36,126.36
1480,244,62,5,13,65.00
1486,245,213,6,410.49,2462.94
1487,245,233,6,25,150.00
1488,245,171,14,30,420.00
1489,245,57,7,21.43,150.01
1490,245,197,14,13,182.00
1491,245,239,3,50,150.00
1492,245,219,1,80.36,80.36
1493,246,172,10,16,160.00
1494,246,88,5,2.17,10.85
1495,246,192,1,140.95,140.95
1496,246,153,1,67.19,67.19
1497,247,251,1,205.81,205.81
1498,247,252,1,65.97,65.97
1499,247,192,1,140.95,140.95
1500,247,153,1,67.19,67.19
1505,249,206,1,304.25,304.25
1506,249,109,1,275,275.00
1507,250,203,7,84.34,590.38
1508,250,57,7,21.43,150.01
1509,250,111,7,19.55,136.85
1510,250,216,1,221.84,221.84
1511,251,171,14,30,420.00
1512,251,109,1,275,275.00
1513,251,138,7,30,210.00
1514,252,265,1,80,80.00
1515,252,239,2,50,100.00
1516,252,219,1,80.36,80.36
1517,252,41,14,100,1400.00
1518,252,73,14,12.67,177.38
1519,252,156,1,185,185.00
1520,252,259,1,95.92,95.92
1521,253,171,14,30,420.00
1522,253,88,21,2.17,45.57
1523,253,179,30,10.5,315.00
1524,253,139,6,19.5,117.00
1525,253,146,1,126.36,126.36
1526,254,130,10,24.5,245.00
1527,254,203,5,84.34,421.70
1528,254,69,1,731.30,731.30
1529,254,86,1,96.65,96.65
1544,256,148,2,41.4,82.80
1545,256,129,15,22,330.00
1546,256,147,15,1.5,22.50
1547,255,130,10,24.5,245.00
1548,255,182,6,61.72,370.32
1549,255,142,10,14.11,141.10
1550,255,129,10,22,220.00
1560,257,97,15,1.51,22.65
1561,257,131,15,26,390.00
1562,257,142,15,14.11,211.65
1563,257,164,10,18.86,188.60
1564,257,119,10,1.42,14.20
1580,261,213,6,410.49,2462.94
1581,261,233,6,25,150.00
1582,261,171,16,30,480.00
1583,261,57,8,21.43,171.44
1584,261,111,16,19.55,312.80
1585,261,99,1,145,145.00
1594,263,213,6,410.49,2462.94
1595,263,34,14,37.5,525.00
1596,263,88,21,2.17,45.57
1597,263,111,20,19.55,391.00
1598,263,233,1,25,25.00
1599,263,159,1,200,200.00
1600,263,233,6,25,150.00
1601,262,171,20,30,600.00
1602,262,80,20,7.51,150.20
1603,262,64,60,26,1560.00
1604,262,215,30,11,330.00
1605,262,196,30,8.08,242.40
1606,262,233,6,25,150.00
1607,262,234,1,100,100.00
1608,262,237,1,60,60.00
1609,262,157,6,315,1890.00
1610,262,200,1,105.97,105.97
1611,262,232,1,15,15.00
1612,264,182,10,61.72,617.20
1613,264,130,10,24.5,245.00
1614,264,86,1,96.65,96.65
1615,264,131,10,26,260.00
1619,265,206,1,304.25,304.25
1620,265,153,1,67.19,67.19
1621,265,51,1,186.45,186.45
1622,266,171,10,30,300.00
1623,266,87,10,10.94,109.40
1624,266,111,10,19.55,195.50
1625,266,57,5,21.43,107.15
1630,268,182,6,61.72,370.32
1631,268,108,1,195,195.00
1632,268,146,1,126.36,126.36
1633,268,62,1,13,13.00
1634,269,144,30,16.37,491.10
1635,269,148,14,41.4,579.60
1636,269,65,30,70,2100.00
1637,269,273,1,929.73,929.73
1638,270,97,15,1.51,22.65
1639,270,142,15,14.11,211.65
1640,270,129,15,22,330.00
1643,271,171,9,30,270.00
1644,271,188,8,17.95,143.60
1659,274,203,5,84.34,421.70
1660,274,173,5,21.43,107.15
1661,274,284,10,13.3,133.00
1662,274,192,1,140.95,140.95
1663,272,213,6,410.49,2462.94
1664,272,171,16,30,480.00
1665,272,173,8,21.43,171.44
1666,272,111,16,19.55,312.80
1667,272,233,6,25,150.00
1677,275,72,5,70,350.00
1678,275,57,5,21.43,107.15
1679,275,284,10,13.3,133.00
1680,275,276,5,19.75,98.75
1698,276,157,4,315,1260.00
1699,276,41,10,100,1000.00
1700,276,111,10,19.55,195.50
1701,276,173,5,21.43,107.15
1702,276,233,4,25,100.00
1703,276,265,1,80,80.00
1704,277,171,14,30,420.00
1705,277,127,1,260,260.00
1706,277,111,7,19.55,136.85
1707,277,159,1,200,200.00
1708,277,265,1,80,80.00
1714,273,171,14,30,420.00
1715,273,111,14,19.55,273.70
1716,273,173,8,21.43,171.44
1717,273,159,1,200,200.00
1718,273,211,1,60.75,60.75
1740,283,129,30,22,660.00
1741,283,61,30,12,360.00
1753,285,206,1,304.25,304.25
1754,285,96,1,140,140.00
1755,285,153,1,67.19,67.19
1756,286,173,10,21.43,214.30
1757,286,217,10,10.44,104.40
1758,286,271,1,210,210.00
1759,286,159,1,200,200.00
1763,284,203,2,84.34,168.68
1764,284,84,4,2.61,10.44
1765,284,57,2,21.43,42.86
1766,282,219,1,80.36,80.36
1767,282,239,1,50,50.00
1768,282,156,1,185,185.00
1769,282,246,1,50,50.00
1770,282,173,1,21.43,21.43
1771,282,67,15,27.25,408.75
1772,282,145,1,196.56,196.56
1773,281,165,5,75,375.00
1774,281,88,15,2.17,32.55
1775,281,179,15,10.5,157.50
1776,281,163,10,7,70.00
1777,281,130,5,24.5,122.50
1778,281,147,10,1.5,15.00
1779,280,203,5,84.34,421.70
1780,280,130,5,24.5,122.50
1781,278,132,10,18,180.00
1782,278,148,15,41.4,621.00
1783,279,97,15,1.51,22.65
1784,279,132,15,18,270.00
1785,279,142,15,14.11,211.65
1786,279,129,15,22,330.00
1790,287,35,14,27.5,385.00
1791,287,88,21,2.17,45.57
1792,287,130,10,24.5,245.00
1793,287,111,20,19.55,391.00
1797,288,132,30,18,540.00
1798,288,97,30,1.51,45.30
1799,288,148,30,41.4,1242.00
1800,289,171,4,30,120.00
1801,289,87,6,10.94,65.64
1802,289,111,4,19.55,78.20
1803,289,138,2,30,60.00
1808,290,61,15,12,180.00
1809,290,129,15,22,330.00
1810,290,130,10,24.5,245.00
1811,290,191,1,118.86,118.86
1817,291,97,15,1.51,22.65
1818,291,283,15,46.91,703.65
1819,291,132,15,18,270.00
1820,291,178,30,6.06,181.80
